name,variety,season,spacing,notes,days_to_maturity,sow_depth,when_to_sow,days_to_emerge,seed_spacing,row_spacing,thinning
Tomato,Ace 55,Warm,24,Determinate bush; disease resistant; great slicer,80,0.25,After last frost,7,24,36,No
Sprouts,Alfalfa,Cool,0,Grow in jar or sprouter; ready in days,4,0,Indoor sprouting year-round,2,0,0,No
Parsnip,All American,Cool,4,Sweet flavor after frost; deep loose soil,120,0.5,Early spring direct sow,14,1,18,4 inches
Corn (Sweet),Ambrosia,Warm,10,Bicolor supersweet; tender kernels,75,1.5,After last frost,7,10,30,No
Rutabaga,American Purple Top,Cool,6,Sweet nutty flavor; cold hardy,90,0.5,Mid to late summer,7,1,18,6 inches
Pepper (Chile),Ancho/Poblano,Warm,18,Mild heat; great for stuffing and drying,75,0.25,Start indoors 8 weeks before last frost,14,18,24,No
Squash (Winter),Angel Hair Spaghetti,Warm,36,Fine spaghetti-like strands; compact fruit,88,1,After last frost,7,36,72,No
Baby Greens,Apple Blossom Swiss Chard Blend,Cool,2,Colorful chard blend; harvest young,25,0.5,Early spring or fall,7,2,12,No
Cucumber,Armenian,Warm,36,Long ribbed fruit; mild flavor; heat tolerant,60,1,After last frost,7,36,60,No
Tomato (Cherry),Artisan Bumble Bee Blend,Warm,24,Indeterminate pole; striped cherry blend,70,0.25,Start indoors 6-8 weeks before last frost,7,24,36,No
Baby Greens,Arugula,Cool,2,Peppery flavor; quick growing,21,0.25,Early spring or fall,5,2,12,No
Arugula,Rocket,Cool,6,Classic peppery salad green,40,0.25,Early spring or fall,5,1,12,6 inches
Arugula,Wild Rocket,Cool,6,Perennial type; intense peppery flavor,50,0.25,Early spring or fall,7,1,12,6 inches
Broccoli,Aspabroc Broccolini,Cool,12,Long tender stems; mild broccoli flavor,60,0.5,Start indoors or direct sow spring/fall,7,12,18,No
Arugula,Astro,Cool,6,Mild flavor; slow to bolt,40,0.25,Early spring or fall,5,1,12,6 inches
Pumpkin,Atlantic Giant,Warm,120,Competition giant; can exceed 500 lbs,120,1,After last frost,7,120,120,No
Carrot,Atomic Red,Cool,2,Bright red color; high lycopene,75,0.25,Early spring or fall,14,1,12,2 inches
Lettuce,Australe Butterhead,Cool,10,Heat tolerant butterhead; tender leaves,55,0.125,Early spring or fall,7,10,12,No
Bok Choy,Baby Choi,Cool,6,Compact baby bok choy; mild flavor,30,0.25,Early spring or fall,5,6,12,No
Sprouts,Bean Mix,Cool,0,Blend of sprouting beans; grow in jar,4,0,Indoor sprouting year-round,2,0,0,No
Tomato,Beefsteak Pole,Warm,24,Indeterminate; classic large slicer,80,0.25,Start indoors 6-8 weeks before last frost,7,24,36,No
Tomato,Beefy Purple Bush,Warm,24,Determinate; deep purple beefsteak,75,0.25,Start indoors 6-8 weeks before last frost,7,24,36,No
Broccoli,Belstar,Cool,18,Uniform heads; heat tolerant hybrid,65,0.5,Start indoors or direct sow spring/fall,7,18,24,No
Tomato,Big Brandy Pole,Warm,24,Indeterminate; large pink Brandywine type,80,0.25,Start indoors 6-8 weeks before last frost,7,24,36,No
Pumpkin,Big Max,Warm,72,Giant pumpkin; up to 100 lbs; bright orange,120,1,After last frost,7,72,96,No
Mache,Big Seeded,Cool,4,Corn salad; nutty mild flavor; cold hardy,50,0.25,Early spring or fall,10,4,6,No
Eggplant,Black Beauty,Warm,24,Classic large purple-black fruit,80,0.25,Start indoors 8-10 weeks before last frost,10,24,30,No
Squash (Summer),Black Beauty,Warm,36,Classic dark green zucchini,50,1,After last frost,7,36,48,No
Pumpkin,Black Kat,Warm,48,Small dark green-black decorative pumpkin,100,1,After last frost,7,48,72,No
Tomato,Black Krim Pole,Warm,24,Indeterminate; dark mahogany heirloom; rich flavor,80,0.25,Start indoors 6-8 weeks before last frost,7,24,36,No
Lettuce,Black Seeded Simpson Leaf,Cool,6,Heirloom leaf lettuce; light green; fast,45,0.125,Early spring or fall,7,1,12,6 inches
Spinach,Bloomsdale,Cool,4,Savoy-type; thick dark leaves; cold hardy,45,0.5,Early spring or fall,7,1,12,4 inches
Garlic,Blossom Hardneck,Cool,6,USDA Organic; hardneck; strong flavor,240,2,Fall planting,14,6,12,No
Bean (Bush),Blue Lake 274,Warm,4,Classic snap bean; heavy yielder,55,1.5,After last frost,7,4,24,No
Bean (Pole),Blue Lake FM-1K,Warm,6,Vigorous climber; stringless; heavy producer,65,1.5,After last frost,7,6,36,No
Bok Choy,Choko,Cool,8,Full-sized bok choy; white stems; dark leaves,45,0.25,Early spring or fall,5,8,18,No
Tomato,Brandywine Red & Yellow Blend Pole,Warm,24,Indeterminate; mix of red and yellow Brandywine,80,0.25,Start indoors 6-8 weeks before last frost,7,24,36,No
Lettuce,Brentwood Leaf,Cool,6,Buttery oak leaf type; slow to bolt,50,0.125,Early spring or fall,7,1,12,6 inches
Sprouts,Broccoli,Cool,0,Sulforaphane-rich sprouts; grow in jar,5,0,Indoor sprouting year-round,2,0,0,No
Beet,Bull's Blood,Cool,4,Deep red leaves; great for baby greens too,55,0.5,Early spring or fall,7,1,12,4 inches
Broccoli,Burgundy,Cool,18,Purple heads turn green when cooked,75,0.5,Start indoors or direct sow spring/fall,7,18,24,No
Lettuce,Buttercrunch Butterhead,Cool,8,Compact butterhead; creamy center; heat tolerant,55,0.125,Early spring or fall,7,1,12,8 inches
Corn (Sweet),Buttergold,Warm,10,Yellow sweet corn; early maturing,73,1.5,After last frost,7,10,30,No
Pepper (Sweet),California Wonder,Warm,18,Classic large green-to-red bell pepper,75,0.25,Start indoors 8 weeks before last frost,14,18,24,No
Pepper (Sweet),Candy Cane Chocolate Cherry,Warm,18,Striped mini sweet pepper; matures chocolate,60,0.25,Start indoors 8 weeks before last frost,14,18,24,No
Cabbage,Caraflex,Cool,18,Pointed conical head; tender and sweet,68,0.5,Start indoors or direct sow spring/fall,7,18,24,No
Carrot,Carnival Blend,Cool,2,Mix of colorful carrot varieties,75,0.25,Early spring or fall,14,1,12,2 inches
Pea (Snap),Cascadia,Cool,3,Stringless snap pea; disease resistant,60,1,Early spring as soon as soil can be worked,10,3,24,No
Pumpkin,Casperita,Warm,36,Mini white pumpkin; great for decorating,77,1,After last frost,7,36,72,No
Pepper (Chile),Cayenne Blend,Warm,18,Mix of cayenne types; hot and colorful,75,0.25,Start indoors 8 weeks before last frost,14,18,24,No
Swiss Chard,Celebration,Cool,6,Multicolor rainbow stems; ornamental and edible,55,0.5,Early spring or fall,7,2,18,6 inches
Melon,Charentais Cantaloupe,Warm,36,French heirloom; intensely fragrant and sweet,80,0.5,After last frost,7,36,72,No
Watermelon,Charleston Gray,Warm,60,Large oblong; classic picnic watermelon,85,1,After last frost,7,60,72,No
Lettuce,Chef's Choice Mesclun,Cool,2,Gourmet lettuce blend for salads,28,0.125,Early spring or fall,7,2,12,No
Lettuce,Chef's Medley Mesclun,Cool,2,Diverse lettuce medley; cut and come again,28,0.125,Early spring or fall,7,2,12,No
Tomato,Cherokee Carbon Pole,Warm,24,Indeterminate; dark complex flavor,75,0.25,Start indoors 6-8 weeks before last frost,7,24,36,No
Tomato,Cherokee Purple Pole,Warm,24,Indeterminate; dusky purple heirloom; rich taste,80,0.25,Start indoors 6-8 weeks before last frost,7,24,36,No
Radish,Cherry Belle,Cool,2,Classic round red radish; mild crisp,22,0.5,Early spring or fall,5,1,12,2 inches
Tomato (Cherry),Cherry Falls Bush,Warm,18,Determinate; cascading habit; great for containers,55,0.25,Start indoors 6-8 weeks before last frost,7,18,24,No
Garlic,Chesnok Red Hardneck,Cool,6,USDA Organic; excellent baking garlic,240,2,Fall planting,14,6,12,No
Squash (Summer),Chiffon,Warm,36,Pale green patty pan type; tender,50,1,After last frost,7,36,48,No
Sprouts,China Rose Radish,Cool,0,Spicy radish sprouts; pink stems,5,0,Indoor sprouting year-round,2,0,0,No
